father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
サブミーカー,0.046511627906976744,0.008527059786551584,0.07407407407407407,0.08695652173913043
サプライズパワー,0.2,0.041023167506996534,0.2222222222222222,0.25
サマーサスピション,0.12858660998937302,0.11110576386924538,0.1044776119402985,0.14747474747474748
サマーバード,0.23857142857142857,0.21252196193593917,0.1610738255033557,0.266173752310536
サムライハート,0.16273504273504275,0.15164303653435046,0.16796368352788585,0.15492957746478872
サリユウムサシ,0.14285714285714285,0.02805337732017585,0.14285714285714285,0.14285714285714285
サルノキング,0.23529411764705882,0.12675157659681374,0.18181818181818182,0.26666666666666666
サンエイソロン,0.21311475409836064,0.13318783754346683,0.21052631578947367,0.22448979591836735
サンオーイ,0.29411764705882354,0.13211096575490608,0.25,0.3125
サンカルロ,0.03571428571428571,0.009922882455470237,0.06,0.04878048780487805
サンキヨーシヨウリ,0.2608695652173913,0.18900322059557495,0.1794871794871795,0.21428571428571427
サンキリコ,0.19474835886214442,0.17359948363805075,0.15949367088607594,0.1875
サンシャインフォーエヴァー,0.136226034308779,0.11873753991706397,0.13654618473895583,0.11607142857142858
サンシャック,0.1638888888888889,0.1329335742903064,0.19230769230769232,0.1346153846153846
サンシヤインボーイ,0.1610738255033557,0.11440763152719047,0.13559322033898305,0.2
サンシー,0.058823529411764705,0.010876071043344062,0.09523809523809523,0.1
サンゼウス,0.16,0.05900834386487541,0.15384615384615385,0.21052631578947367
サンダーガルチ,0.23161033797216699,0.2100497781356202,0.13656387665198239,0.25733333333333336
サンダースノー,0.12244897959183673,0.07295870463317515,0.09090909090909091,0.18
サンテステフ,0.14146341463414633,0.10360039244231395,0.1134020618556701,0.17857142857142858
サンデーウェル,0.13286713286713286,0.08942364721424458,0.13333333333333333,0.14666666666666667
サンデーサイレンス,0.3216425036895564,0.3165894300519388,0.3239395868294659,0.31419427710843373
サンデーブランチ,0.05128205128205128,0.009432481613977223,0.08,0.09523809523809523
サンプリンス,0.2222222222222222,0.10559644892751713,0.2631578947368421,0.2
サンプレイス,0.12658227848101267,0.07123486818656292,0.1724137931034483,0.08
サンライズバッカス,0.13559322033898305,0.07052554468613186,0.14285714285714285,0.15384615384615385
サンライズペガサス,0.209366391184573,0.18500769781208354,0.11917098445595854,0.24349442379182157
サーペンアップ,0.30303030303030304,0.18038450483604973,0.2,0.3333333333333333
サーペンフロ,0.22727272727272727,0.09884352959849337,0.16666666666666666,0.375
サーモンリープ,0.07792207792207792,0.03493942728116432,0.125,0.07692307692307693
ザカリヤ,0.25471698113207547,0.18813023829750658,0.2727272727272727,0.14285714285714285
ザグレブ,0.127831715210356,0.10646026534239345,0.16516516516516516,0.09252669039145907
ザサンデーフサイチ,0.09090909090909091,0.057226345336216365,0.1414141414141414,0.046153846153846156
ザッツザプレンティ,0.12669683257918551,0.09198625506025843,0.16793893129770993,0.054945054945054944
ザファクター,0.21486486486486486,0.1904901424267739,0.14761904761904762,0.24202626641651032
ザーラージル,0.1875,0.13041556044308197,0.19642857142857142,0.2
ザール,0.10526315789473684,0.07937696252430819,0.11731843575418995,0.10119047619047619
シアトルスキー,0.3333333333333333,0.1527176223846631,0.35714285714285715,0.25
シアトルスズカ,0.0851063829787234,0.05020313789249837,0.06349206349206349,0.12048192771084337
シアトルダンサー2,0.15849673202614378,0.14165572120914668,0.17329093799682035,0.14821428571428572
シアトルヒーロー,0.23529411764705882,0.0902524330304275,0.23529411764705882,0.23529411764705882
シェイヴィアン,0.28289473684210525,0.22464552373599198,0.30864197530864196,0.2564102564102564
シェリフズスター,0.19724770642201836,0.1667425841539791,0.22959183673469388,0.1728395061728395
シェルゲーム,0.1111111111111111,0.021317626921521112,0.14285714285714285,0.18181818181818182
シエイデイハイツ,0.20594965675057209,0.18385018879426288,0.2456575682382134,0.17547568710359407
シエラスター,0.10526315789473684,0.020110675876131676,0.16666666666666666,0.14285714285714285
シエルシユールドール,0.13714285714285715,0.11327946229950837,0.18587360594795538,0.08786610878661087
シゲルカガ,0.12,0.03495333483371806,0.2,0.13636363636363635
シズヒロオー,0.25,0.09665833399195689,0.25,0.26666666666666666
シックスセンス,0.15521628498727735,0.12623527766576176,0.1650485436893204,0.14634146341463414
シナノリンボー,0.3333333333333333,0.1527176223846631,0.25,0.35714285714285715
シニスターミニスター,0.2504258943781942,0.24008818003583066,0.08143322475570032,0.2634011090573013
シビルウォー,0.12773722627737227,0.09623758225542683,0.058823529411764705,0.15384615384615385
シベリアンホーク,0.15544041450777202,0.11476536316908195,0.19047619047619047,0.12631578947368421
シャマードシンボリ,0.25,0.05337550047023718,0.25,0.25
シャルード,0.1462882096069869,0.12005896950974151,0.11695906432748537,0.16911764705882354
シャンハイ,0.23736892278360344,0.2222367617385206,0.16929133858267717,0.2610619469026549
シャンハイボビー,0.23869346733668342,0.20434752714260537,0.19047619047619047,0.26848249027237353
シャーディー,0.18682566723452584,0.17175660255560443,0.2029197080291971,0.17365269461077845
シャーラスタニ,0.16556291390728478,0.13173764450238043,0.18229166666666666,0.1504424778761062
シヤイニングナイト,0.13333333333333333,0.025999332600867814,0.13333333333333333,0.13333333333333333
シヤカプール,0.3333333333333333,0.1527176223846631,0.2222222222222222,0.38461538461538464
シュヴァルグラン,0.1565217391304348,0.10460790265731111,0.21621621621621623,0.08333333333333333
ショウナンカンプ,0.1743404035178479,0.16034351407110145,0.19152542372881357,0.1492329149232915
ショウナンバッハ,0.3157894736842105,0.15634363948365287,0.3333333333333333,0.25
ショウリテンユウ,0.18181818181818182,0.03677143788746509,0.25,0.2
シリウスシンボリ,0.18689788053949905,0.15947805005194093,0.1947565543071161,0.13989637305699482
シルクジャスティス,0.12540192926045016,0.0959864461549051,0.08823529411764706,0.13043478260869565
シルクハリアー,0.13333333333333333,0.025999332600867814,0.16666666666666666,0.2
シルクフェイマス,0.18032786885245902,0.10635424059952166,0.19148936170212766,0.19047619047619047
シルバーステート,0.24295010845986983,0.22420103735552108,0.26706231454005935,0.1793478260869565
シルバーチャーム,0.14444444444444443,0.12723875266405996,0.0871559633027523,0.16423357664233576
シルバーランド,0.2545454545454545,0.16406365022581834,0.25,0.2857142857142857
シルポート,0.1686046511627907,0.1240609773357252,0.1375,0.20202020202020202
シルヴァーエンディング,0.12373737373737374,0.09767301100679548,0.16071428571428573,0.1038961038961039
シルヴアーヴオイス,0.18009478672985782,0.1384648440135733,0.1,0.16455696202531644
シンウルフ,0.17549668874172186,0.1408078259893274,0.2073170731707317,0.06557377049180328
シングルロマン,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
シングンオペラ,0.245136186770428,0.2022312002395815,0.24431818181818182,0.14
シンコウウインディ,0.12903225806451613,0.046854826914600675,0.11764705882352941,0.19047619047619047
シンコウキング,0.116751269035533,0.08154358930574199,0.1592920353982301,0.08045977011494253
シンコウスプレンダ,0.25,0.05337550047023718,0.25,0.25
シンコーユタカ,0.18181818181818182,0.03677143788746509,0.25,0.2
シンチェスト,0.28,0.22158929717698134,0.2976190476190476,0.1896551724137931
シンブラウン,0.25,0.05337550047023718,0.25,0.25
シンボリクリスエス,0.22908707680147544,0.22349756083033548,0.2209269263576912,0.23279298432102047
シンボリスウォード,0.07042253521126761,0.028565190686952943,0.09523809523809523,0.08333333333333333
シンボリルドルフ,0.2001182382500739,0.18890693866489852,0.1880801172447484,0.2040990606319385
シーキングザダイヤ,0.22839506172839505,0.19106215417844755,0.12280701754385964,0.2490272373540856
シービークラウド,0.06666666666666667,0.0188404679642711,0.08,0.1111111111111111
シービークロス,0.19047619047619047,0.1398658546450014,0.18072289156626506,0.21875
シーホーク,0.24324324324324326,0.13708084518354055,0.20689655172413793,0.3
シーロ,0.09352517985611511,0.06660390275688734,0.12878787878787878,0.06976744186046512
ジェイドハンター,0.18556701030927836,0.12483457811081328,0.14285714285714285,0.25862068965517243
ジェイドロバリー,0.2541802136553646,0.24649593018082916,0.23033509700176366,0.26229805772372483
ジェットアラウンド,0.2903225806451613,0.16632595561321167,0.25,0.3
ジェニュイン,0.17046101309049516,0.16013585207367168,0.15319747013352072,0.17597471022128555
ジェネラス,0.18516912402428448,0.17202363111354615,0.1830065359477124,0.1875
ジェリ,0.23622047244094488,0.20127218137019875,0.1743119266055046,0.2644927536231884
ジャイアントレッカー,0.10097719869706841,0.08175694944072193,0.1111111111111111,0.10123456790123457
ジャスタウェイ,0.21976149914821125,0.20921523889281707,0.23083661848445028,0.2018348623853211
ジャングルポケット,0.1938033228558599,0.18767353039038395,0.2111801242236025,0.1557184750733138
ジャンダルム,0.21428571428571427,0.15983942650665897,0.22784810126582278,0.20588235294117646
ジヤツジアンジエルーチ,0.24069767441860465,0.217079008132455,0.22727272727272727,0.22141119221411193
ジュンツバサ,0.17647058823529413,0.05314598448266387,0.18181818181818182,0.23076923076923078
ジユニアス,0.171875,0.12028475964618375,0.23529411764705882,0.11475409836065574
ジョウテンブレーヴ,0.20253164556962025,0.13310819695332574,0.13513513513513514,0.2653061224489796
