jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
696,248,1513,0.16447368421052633,0.05023132848645076,1513,0.149093249034427
697,460,2045,0.22514619883040934,0.07237163814180929,2045,0.21013686957537217
698,423,2282,0.18567059851463522,0.05696757230499562,2282,0.17246278137783339
699,806,5922,0.13627930511047395,0.035123269165822354,5922,0.12902136162112646
700,3919,12609,0.31079581483830054,0.11650408438417004,12609,0.3040355081659247
701,323,2598,0.12476007677543186,0.03695150115473441,2598,0.11427874434739652
702,273,2165,0.12661141804788215,0.033718244803695153,2165,0.11507599097160365
703,645,3137,0.2057888040712468,0.0736372330251833,3137,0.19403832303060134
704,178,1127,0.15873015873015872,0.03637976929902396,1127,0.14123653023272506
705,4488,13487,0.3327404772491478,0.1267887595462297,13487,0.3260827954301866
706,464,2403,0.1933609958506224,0.049937578027465665,2403,0.18027708508309315
707,209,1711,0.12281722933643772,0.03331385154880187,1711,0.11004952665795244
708,841,3116,0.26993275696445723,0.08376123234916559,3116,0.25695261771509076
709,1292,6503,0.1987711213517665,0.06566200215285253,6503,0.19068896995929643
710,352,2008,0.17568238213399504,0.04332669322709164,2008,0.16192633040562937
711,3934,12276,0.3204428885451437,0.11420658194851743,12276,0.31353409646236113
712,922,6941,0.13298791018998274,0.03529750756375162,6941,0.1263482865956422
713,99,742,0.1348464619492657,0.03369272237196765,742,0.1148993325862139
714,899,4051,0.2220305569245934,0.06985929400148111,4051,0.21137868125688508
715,576,3535,0.163184641445511,0.0545968882602546,3535,0.15308205028287236
716,454,3095,0.1470019342359768,0.042649434571890146,3095,0.13667653594782814
717,626,2960,0.21166161105493764,0.0625,2960,0.19943969592771293
718,1045,5247,0.19927674153026265,0.06251191156851534,5247,0.19027836418382918
719,398,2661,0.14992503748125938,0.04321683577602405,2661,0.13870960172195868
720,200,1483,0.13557046979865772,0.030343897505057317,1483,0.12127056877428552
721,96,726,0.13369713506139155,0.045454545454545456,726,0.11361694653625733
722,1162,7145,0.16275167785234898,0.0496850944716585,7145,0.15562647246138914
723,261,1806,0.1450634307777165,0.042081949058693245,1806,0.13168866509001037
724,75,884,0.08641975308641975,0.029411764705882353,884,0.07148945411630174
725,282,2089,0.13549618320610687,0.04164672091910005,2089,0.12340320310143546
726,523,4482,0.11695255067943863,0.03413654618473896,4482,0.10916202209946978
727,722,3250,0.2222904513355849,0.06984615384615385,3250,0.21040616048590136
728,328,2017,0.16304347826086957,0.0436291522062469,2017,0.14973234777844066
729,477,2812,0.16991841078396594,0.050853485064011376,2812,0.15842000820910193
730,447,3581,0.12513935340022297,0.03267243786651773,3581,0.11617489568663865
731,89,472,0.18997912317327767,0.059322033898305086,472,0.16127798142261487
732,5370,23187,0.2316116236957834,0.07051364989002458,23187,0.2270686269927514
