win_prob_min,min_ev,min_odds,max_odds,tune_n_main,tune_main_hits,tune_main_roi,tune_final,valid_n_main,valid_main_hits,valid_main_roi,valid_final
0.1,1.2,3.0,20.0,77,9,-0.24025974025974026,811500.0,42,3,-0.6142857142857143,876200.0
0.15,1.75,3.0,30.0,40,3,-0.4625,811500.0,19,1,-0.6210526315789474,890200.0
0.15,1.75,5.0,30.0,40,3,-0.4625,811500.0,19,1,-0.6210526315789474,890200.0
0.12,1.2,3.0,20.0,77,9,-0.24025974025974026,811500.0,42,3,-0.6142857142857143,876200.0
0.15,1.4,3.0,15.0,50,5,-0.376,811200.0,24,2,-0.5166666666666667,889600.0
0.15,1.5,5.0,20.0,46,4,-0.40869565217391307,811200.0,20,1,-0.64,889200.0
0.15,1.3,7.0,20.0,28,1,-0.6714285714285714,811200.0,16,1,-0.55,893200.0
0.12,2.0,7.0,30.0,28,1,-0.6714285714285714,811200.0,19,1,-0.6210526315789474,890200.0
0.15,1.4,5.0,15.0,46,4,-0.40869565217391307,811200.0,21,1,-0.6571428571428571,888200.0
0.15,1.75,7.0,30.0,28,1,-0.6714285714285714,811200.0,17,1,-0.5764705882352941,892200.0
0.1,2.0,7.0,30.0,28,1,-0.6714285714285714,811200.0,19,1,-0.6210526315789474,890200.0
0.15,1.2,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.15,1.1,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.15,1.0,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.15,2.0,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.12,1.75,10.0,20.0,19,0,-1.0,811000.0,14,0,-1.0,888000.0
0.15,1.75,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.15,1.4,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.15,1.5,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.1,1.75,10.0,20.0,19,0,-1.0,811000.0,14,0,-1.0,888000.0
0.15,1.3,10.0,50.0,19,0,-1.0,811000.0,13,0,-1.0,889000.0
0.12,1.1,5.0,15.0,65,6,-0.29384615384615387,810900.0,29,1,-0.7517241379310344,880200.0
0.12,1.1,7.0,30.0,47,3,-0.40638297872340423,810900.0,27,1,-0.7333333333333333,882200.0
0.1,1.1,5.0,15.0,65,6,-0.29384615384615387,810900.0,29,1,-0.7517241379310344,880200.0
0.1,1.1,7.0,30.0,47,3,-0.40638297872340423,810900.0,27,1,-0.7333333333333333,882200.0
0.1,1.3,5.0,15.0,57,5,-0.3368421052631579,810800.0,24,1,-0.7,885200.0
0.12,1.3,5.0,15.0,57,5,-0.3368421052631579,810800.0,24,1,-0.7,885200.0
0.12,1.75,5.0,20.0,41,3,-0.47560975609756095,810500.0,22,1,-0.6727272727272727,887200.0
0.15,1.75,3.0,50.0,41,3,-0.47560975609756095,810500.0,21,1,-0.6571428571428571,888200.0
0.12,1.75,3.0,20.0,41,3,-0.47560975609756095,810500.0,22,1,-0.6727272727272727,887200.0
0.1,1.0,7.0,50.0,55,4,-0.35454545454545455,810500.0,32,1,-0.775,877200.0
0.1,1.75,3.0,20.0,41,3,-0.47560975609756095,810500.0,22,1,-0.6727272727272727,887200.0
0.15,1.75,5.0,50.0,41,3,-0.47560975609756095,810500.0,21,1,-0.6571428571428571,888200.0
0.1,1.75,5.0,20.0,41,3,-0.47560975609756095,810500.0,22,1,-0.6727272727272727,887200.0
0.12,1.0,5.0,15.0,73,7,-0.2671232876712329,810500.0,32,1,-0.775,877200.0
0.12,1.0,7.0,50.0,55,4,-0.35454545454545455,810500.0,32,1,-0.775,877200.0
0.1,1.0,5.0,15.0,73,7,-0.2671232876712329,810500.0,32,1,-0.775,877200.0
0.12,1.3,3.0,20.0,70,8,-0.28,810400.0,37,2,-0.6864864864864865,876600.0
0.1,1.3,3.0,20.0,70,8,-0.28,810400.0,37,2,-0.6864864864864865,876600.0
0.15,1.2,5.0,30.0,55,5,-0.35818181818181816,810300.0,28,1,-0.7428571428571429,881200.0
0.12,1.75,7.0,20.0,29,1,-0.6827586206896552,810200.0,20,1,-0.64,889200.0
0.15,1.75,7.0,50.0,29,1,-0.6827586206896552,810200.0,19,1,-0.6210526315789474,890200.0
0.1,1.5,7.0,15.0,29,1,-0.6827586206896552,810200.0,15,1,-0.52,894200.0
0.12,1.5,7.0,15.0,29,1,-0.6827586206896552,810200.0,15,1,-0.52,894200.0
0.1,1.75,7.0,20.0,29,1,-0.6827586206896552,810200.0,20,1,-0.64,889200.0
0.15,1.3,5.0,15.0,47,4,-0.42127659574468085,810200.0,21,1,-0.6571428571428571,888200.0
0.15,1.2,3.0,30.0,68,8,-0.29558823529411765,809900.0,38,3,-0.5736842105263158,880200.0
0.1,1.2,7.0,50.0,48,3,-0.41875,809900.0,28,1,-0.7428571428571429,881200.0
0.12,1.2,7.0,50.0,48,3,-0.41875,809900.0,28,1,-0.7428571428571429,881200.0
0.1,1.3,7.0,20.0,40,2,-0.505,809800.0,21,1,-0.6571428571428571,888200.0
0.12,1.3,7.0,20.0,40,2,-0.505,809800.0,21,1,-0.6571428571428571,888200.0
0.15,1.2,5.0,50.0,56,5,-0.36964285714285716,809300.0,30,1,-0.76,879200.0
0.15,1.0,5.0,15.0,56,5,-0.36964285714285716,809300.0,24,1,-0.7,885200.0
0.15,1.1,5.0,20.0,56,5,-0.36964285714285716,809300.0,28,1,-0.7428571428571429,881200.0
